"month_year","C34","C91","C92","U07.1"
"01-2018","5","1","2","-"
"02-2018","3","0","1","-"
"03-2018","7","0","2","-"
"04-2018","4","0","2","-"
"05-2018","5","1","1","-"
"06-2018","10","1","0","-"
"07-2018","4","1","3","-"
"08-2018","7","3","3","-"
"09-2018","3","1","1","-"
"10-2018","2","2","0","-"
"11-2018","5","2","1","-"
"12-2018","6","1","4","-"
"01-2019","2","2","1","-"
"02-2019","8","1","1","-"
"03-2019","2","0","1","-"
"04-2019","4","0","0","-"
"05-2019","4","1","1","-"
"06-2019","7","3","0","-"
"07-2019","5","1","4","-"
"08-2019","8","1","1","-"
"09-2019","4","0","2","-"
"10-2019","4","1","1","-"
"11-2019","1","0","1","-"
"12-2019","4","1","0","-"
"01-2020","5","0","1","-"
"02-2020","1","1","1","-"
"03-2020","6","2","2",15
"04-2020","9","1","3",354
"05-2020","3","1","1",1384
"06-2020","9","0","1",6267
"07-2020","11","0","0",9722
"08-2020","4","0","0",9271
"09-2020","8","2","3",4364
"10-2020","5","1","0",2581
"11-2020","7","0","0",2777
"12-2020","6","2","1",6675
"01-2021","15","2","0",8385
"02-2021","20","1","3",6455
"03-2021","7","1","1",9446
"04-2021","7","0","1",9146
"05-2021","9","0","3",7394
"06-2021","23","2","0",10027
"07-2021","6","1","3",8779
"08-2021","8","0","1",6586
"09-2021","4","2","2",3462
"10-2021","5","2","0",2064
"11-2021","6","1","0",1855
"12-2021","4","1","3",405
"01-2022","2","0","0",5686
"02-2022","6","1","1",8812
"03-2022","4","1","2",19218
"04-2022","7","0","1",6812
"05-2022","10","1","1",13040
"06-2022","6","2","3",8799
"07-2022","6","2","0",5813
"08-2022","8","3","1",2895
"09-2022","5","2","2",8373
"10-2022","9","1","1",3589
"11-2022","12","2","3",3673
"12-2022","3","2","1",5376
"01-2023","7","2","1",4795
"02-2023","6","1","0",5651
"03-2023","0","1","0",3343
