"month_year","C34","C91","C92","U07.1"
"01-2018","0","0","2","-"
"02-2018","0","1","1","-"
"03-2018","0","2","2","-"
"04-2018","1","1","1","-"
"05-2018","1","0","3","-"
"06-2018","2","1","1","-"
"07-2018","1","0","1","-"
"08-2018","3","4","0","-"
"09-2018","1","0","2","-"
"10-2018","2","1","1","-"
"11-2018","1","0","1","-"
"12-2018","3","1","0","-"
"01-2019","4","1","2","-"
"02-2019","7","2","1","-"
"03-2019","0","2","1","-"
"04-2019","5","1","1","-"
"05-2019","2","1","1","-"
"06-2019","1","3","0","-"
"07-2019","0","2","0","-"
"08-2019","2","0","1","-"
"09-2019","2","1","2","-"
"10-2019","6","2","0","-"
"11-2019","3","1","1","-"
"12-2019","1","1","2","-"
"01-2020","0","1","1","-"
"02-2020","4","1","1","-"
"03-2020","3","2","1",21
"04-2020","1","1","0",716
"05-2020","4","0","0",2020
"06-2020","0","1","0",4086
"07-2020","2","0","1",5408
"08-2020","2","0","2",4607
"09-2020","3","0","6",3041
"10-2020","2","1","1",2813
"11-2020","3","0","1",2880
"12-2020","1","3","0",2387
"01-2021","3","2","1",4398
"02-2021","5","0","2",2400
"03-2021","6","0","1",5845
"04-2021","2","2","2",8614
"05-2021","4","4","2",4363
"06-2021","7","1","0",4285
"07-2021","6","1","3",2729
"08-2021","6","3","1",1689
"09-2021","1","3","2",1193
"10-2021","3","1","0",742
"11-2021","1","0","1",1303
"12-2021","2","1","0",504
"01-2022","3","2","2",823
"02-2022","1","1","3",1846
"03-2022","8","0","1",2955
"04-2022","0","1","2",9281
"05-2022","3","0","0",1762
"06-2022","2","0","1",701
"07-2022","0","2","1",633
"08-2022","3","3","3",247
"09-2022","4","1","1",116
"10-2022","1","1","1",115
"11-2022","2","2","3",501
"12-2022","3","4","1",9122
"01-2023","1","0","1",5336
"02-2023","0","1","1",1854
"03-2023","1","0","0",1331
